2008 3月6日最新测试
perfromance test1
xmemcached

test read,thread num=100, repeat=10000,size=2, all=1000000 ,velocity=15716 , using time:63629
test delete,thread num=100, repeat=10000,size=2, all=1000000 ,velocity=18310 , using time:54612

test write,thread num=200, repeat=10000,size=2, all=2000000 ,velocity=15982 , using time:125134
test read,thread num=200, repeat=10000,size=2, all=2000000 ,velocity=14828 , using time:134877
test delete,thread num=200, repeat=10000,size=2, all=2000000 ,velocity=16735 , using time:119507

20 thread,node++

xmemcached 1 2 3 4 6 10

test write,thread num=20, repeat=10000,size=2, all=200000 ,velocity=14961 , using time:13368
test read,thread num=20, repeat=10000,size=2, all=200000 ,velocity=19188 , using time:10423
test delete,thread num=20, repeat=10000,size=2, all=200000 ,velocity=14658 , using time:13644

test write,thread num=20, repeat=10000,size=2, all=200000 ,velocity=11539 , using time:17332
test read,thread num=20, repeat=10000,size=2, all=200000 ,velocity=18304 , using time:10926
test delete,thread num=20, repeat=10000,size=2, all=200000 ,velocity=12546 , using time:15941

test write,thread num=20, repeat=10000,size=2, all=200000 ,velocity=11066 , using time:18073
test read,thread num=20, repeat=10000,size=2, all=200000 ,velocity=18438 , using time:10847
test delete,thread num=20, repeat=10000,size=2, all=200000 ,velocity=12877 , using time:15531

test write,thread num=20, repeat=10000,size=2, all=200000 ,velocity=10970 , using time:18231
test read,thread num=20, repeat=10000,size=2, all=200000 ,velocity=17550 , using time:11396
test delete,thread num=20, repeat=10000,size=2, all=200000 ,velocity=11578 , using time:17274

test write,thread num=20, repeat=10000,size=2, all=200000 ,velocity=10033 , using time:19933
test read,thread num=20, repeat=10000,size=2, all=200000 ,velocity=16794 , using time:11909
test delete,thread num=20, repeat=10000,size=2, all=200000 ,velocity=12159 , using time:16448

test write,thread num=20, repeat=10000,size=2, all=200000 ,velocity=10225 , using time:19558                                                                 
test read,thread num=20, repeat=10000,size=2, all=200000 ,velocity=15029 , using time:13307                                                                  
test delete,thread num=20, repeat=10000,size=2, all=200000 ,velocity=11207 , using time:17845 

spymemcached

test write,thread num=20, repeat=10000,size=2, all=200000 ,velocity=16100 , using time:12422
test read,thread num=20, repeat=10000,size=2, all=200000 ,velocity=16346 , using time:12235
test delete,thread num=20, repeat=10000,size=2, all=200000 ,velocity=16122 , using time:12405

test write,thread num=20, repeat=10000,size=2, all=200000 ,velocity=14137 , using time:14147
test read,thread num=20, repeat=10000,size=2, all=200000 ,velocity=13629 , using time:14674
test delete,thread num=20, repeat=10000,size=2, all=200000 ,velocity=14935 , using time:13391

test write,thread num=20, repeat=10000,size=2, all=200000 ,velocity=14804 , using time:13509
test read,thread num=20, repeat=10000,size=2, all=200000 ,velocity=14948 , using time:13379
test delete,thread num=20, repeat=10000,size=2, all=200000 ,velocity=16408 , using time:12189

test write,thread num=20, repeat=10000,size=2, all=200000 ,velocity=13553 , using time:14756
test read,thread num=20, repeat=10000,size=2, all=200000 ,velocity=13530 , using time:14781
test delete,thread num=20, repeat=10000,size=2, all=200000 ,velocity=15034 , using time:13303

test write,thread num=20, repeat=10000,size=2, all=200000 ,velocity=13265 , using time:15077
test read,thread num=20, repeat=10000,size=2, all=200000 ,velocity=13768 , using time:14526
test delete,thread num=20, repeat=10000,size=2, all=200000 ,velocity=14695 , using time:13610

test write,thread num=20, repeat=10000,size=2, all=200000 ,velocity=12195 , using time:16399
test read,thread num=20, repeat=10000,size=2, all=200000 ,velocity=11908 , using time:16795
test delete,thread num=20, repeat=10000,size=2, all=200000 ,velocity=12423 , using time:16099








